epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1329.93,0.88945,0.70121,1.09923,0.96542,0.97488,0.98093,0.73501,0.85931,0.49275,1.09166,0.00033032,0.00033032,0.00033032
43,1357.78,0.87252,0.68566,1.11518,0.95849,0.97886,0.98086,0.76885,0.81429,0.48305,1.07545,0.000324815,0.000324815,0.000324815
44,1387.25,0.90708,0.72122,1.06333,0.94656,0.96626,0.98083,0.77437,0.78594,0.50302,1.06153,0.000319311,0.000319311,0.000319311
45,1416.85,0.84092,0.71375,1.06903,0.93726,0.96392,0.98964,0.76542,0.78441,0.50788,1.06042,0.000313806,0.000313806,0.000313806
46,1447.01,0.89458,0.7162,1.12887,0.94068,0.9748,0.98054,0.76195,0.7786,0.48864,1.05952,0.000308302,0.000308302,0.000308302
47,1476.35,0.80014,0.67262,1.08797,0.95844,0.97169,0.98106,0.7711,0.73544,0.46522,1.03249,0.000302798,0.000302798,0.000302798
48,1506.23,0.76402,0.62136,1.04636,0.96024,0.9669,0.98108,0.76819,0.72265,0.46659,1.02895,0.000297293,0.000297293,0.000297293
49,1536.11,0.80451,0.66105,1.03572,0.93939,0.94697,0.98119,0.78717,0.71984,0.45065,1.02493,0.000291789,0.000291789,0.000291789
50,1565.22,0.788,0.64564,1.04969,0.94169,0.95505,0.98667,0.8008,0.71735,0.44104,1.02204,0.000286284,0.000286284,0.000286284
51,1594.66,0.8703,0.69896,1.13726,0.93479,0.97238,0.99092,0.79691,0.68665,0.44027,1.01403,0.00028078,0.00028078,0.00028078
52,1624.3,0.71566,0.60224,1.02009,0.97976,0.97584,0.99092,0.81703,0.67123,0.41841,1.01116,0.000275276,0.000275276,0.000275276
53,1654.89,0.789,0.63098,1.07586,0.96845,0.97817,0.98964,0.80144,0.71843,0.43632,1.03774,0.000269771,0.000269771,0.000269771
54,1684.94,0.82871,0.63157,1.08523,0.96815,0.97868,0.98079,0.80191,0.68128,0.42001,1.01996,0.000264267,0.000264267,0.000264267
55,1714.29,0.782,0.55542,0.984,0.96686,0.96174,0.9809,0.81559,0.63884,0.40957,1.0003,0.000258762,0.000258762,0.000258762
56,1744.22,0.85707,0.66302,1.13094,0.95475,0.96376,0.98103,0.83471,0.62667,0.40916,0.99768,0.000253258,0.000253258,0.000253258
57,1774.16,0.71332,0.6307,0.99146,0.9396,0.97107,0.9815,0.82172,0.63194,0.41134,1.00363,0.000247754,0.000247754,0.000247754
58,1804.46,0.75348,0.57975,1.00972,0.95395,0.97308,0.98162,0.81202,0.65148,0.41337,1.00981,0.000242249,0.000242249,0.000242249
59,1835.48,0.75403,0.60374,1.02416,0.96659,0.98507,0.98146,0.81139,0.6596,0.41208,1.00624,0.000236745,0.000236745,0.000236745
60,1867.38,0.76504,0.59491,1.04157,0.96284,0.97927,0.98148,0.83113,0.64936,0.38664,0.99226,0.00023124,0.00023124,0.00023124
61,1899.18,0.72358,0.54464,1.05157,0.96438,0.9852,0.98259,0.84594,0.6297,0.3767,0.98028,0.000225736,0.000225736,0.000225736
62,1930.89,0.68751,0.53601,1.04881,0.96028,0.98422,0.98302,0.82761,0.62901,0.37994,0.98272,0.000220232,0.000220232,0.000220232
63,1958.79,0.67085,0.49769,1.02821,0.9723,0.9733,0.9831,0.819,0.63972,0.38175,0.98014,0.000214727,0.000214727,0.000214727
64,1988.2,0.69461,0.52626,0.98989,0.97454,0.9801,0.98336,0.82205,0.62931,0.37564,0.9726,0.000209223,0.000209223,0.000209223
65,2016.77,0.69145,0.54948,1.04146,0.96848,0.98201,0.98429,0.84035,0.60823,0.36995,0.96502,0.000203718,0.000203718,0.000203718
66,2046.37,0.71249,0.55182,1.02691,0.96622,0.98438,0.98102,0.84986,0.58109,0.36268,0.95629,0.000198214,0.000198214,0.000198214
67,2076.87,0.66771,0.51693,0.9943,0.96964,0.98511,0.98098,0.85667,0.53328,0.35249,0.9466,0.00019271,0.00019271,0.00019271
68,2106.5,0.64473,0.49989,1.00123,0.97076,0.98276,0.98548,0.87245,0.53189,0.34891,0.94948,0.000187205,0.000187205,0.000187205
69,2136.13,0.69063,0.52759,0.96111,0.97374,0.98326,0.98492,0.86955,0.52515,0.34968,0.94752,0.000181701,0.000181701,0.000181701
70,2164.5,0.63495,0.50868,0.97781,0.9795,0.9804,0.98396,0.85917,0.52831,0.33839,0.93714,0.000176196,0.000176196,0.000176196
71,2192.9,0.66121,0.49402,0.96405,0.97196,0.97534,0.9825,0.8667,0.50588,0.33027,0.92567,0.000170692,0.000170692,0.000170692
72,2221.91,0.63542,0.45702,1.00111,0.9734,0.97614,0.98201,0.86306,0.51001,0.33288,0.92368,0.000165188,0.000165188,0.000165188
73,2252.08,0.5909,0.43644,0.93879,0.96258,0.97916,0.98211,0.86104,0.53348,0.34006,0.92816,0.000159683,0.000159683,0.000159683
74,2280.58,0.61338,0.45163,0.93806,0.96046,0.9785,0.9825,0.86932,0.51209,0.33655,0.92335,0.000154179,0.000154179,0.000154179
75,2312.17,0.64678,0.48699,0.99415,0.97394,0.96627,0.98518,0.87993,0.47357,0.31856,0.91444,0.000148674,0.000148674,0.000148674
76,2341.95,0.64631,0.45204,0.98861,0.96864,0.96664,0.98721,0.87636,0.48502,0.31215,0.91935,0.00014317,0.00014317,0.00014317
77,2370.05,0.61539,0.46019,0.95833,0.96415,0.96684,0.98865,0.87619,0.4849,0.31067,0.91486,0.000137666,0.000137666,0.000137666
78,2399.08,0.56448,0.41952,0.95541,0.9627,0.94979,0.98679,0.85666,0.52616,0.32087,0.92601,0.000132161,0.000132161,0.000132161
79,2427.65,0.58524,0.43777,0.94855,0.96342,0.95033,0.99024,0.8847,0.47612,0.31748,0.9102,0.000126657,0.000126657,0.000126657
80,2459.66,0.59215,0.49644,0.96119,0.96771,0.95083,0.98679,0.89103,0.46006,0.31133,0.90348,0.000121152,0.000121152,0.000121152
81,2489.23,0.58785,0.46359,0.95696,0.96526,0.9796,0.98964,0.89435,0.45728,0.31332,0.89968,0.000115648,0.000115648,0.000115648
82,2520.18,0.53785,0.42614,0.95315,0.9745,0.97956,0.98865,0.89467,0.46705,0.31625,0.90094,0.000110144,0.000110144,0.000110144
83,2547.73,0.59971,0.43853,0.96671,0.9794,0.98571,0.98865,0.87954,0.50605,0.32428,0.9078,0.000104639,0.000104639,0.000104639
84,2577.34,0.54966,0.418,0.91332,0.98555,0.97552,0.98865,0.89136,0.48913,0.32211,0.9027,9.91348e-05,9.91348e-05,9.91348e-05
85,2606.29,0.55343,0.40096,0.9314,0.98269,0.97626,0.98964,0.8982,0.47239,0.31077,0.90061,9.36304e-05,9.36304e-05,9.36304e-05
86,2635.7,0.53904,0.44277,0.931,0.98272,0.97589,0.98964,0.89409,0.44953,0.30217,0.89687,8.8126e-05,8.8126e-05,8.8126e-05
87,2666.75,0.58798,0.43,0.91981,0.98034,0.9829,0.98964,0.89455,0.43437,0.28975,0.89169,8.26216e-05,8.26216e-05,8.26216e-05
88,2693.9,0.55405,0.3995,0.91461,0.97991,0.98283,0.99262,0.9003,0.43745,0.28593,0.89092,7.71172e-05,7.71172e-05,7.71172e-05
89,2724.46,0.5001,0.39395,0.93343,0.97853,0.9777,0.99092,0.89848,0.45835,0.29157,0.88992,7.16128e-05,7.16128e-05,7.16128e-05
90,2754.36,0.53288,0.39586,0.92371,0.97784,0.97703,0.99262,0.89963,0.46458,0.29004,0.88931,6.61084e-05,6.61084e-05,6.61084e-05
91,2795.4,0.61169,0.46591,0.95732,0.97803,0.97911,0.99092,0.88854,0.4766,0.29719,0.89042,6.0604e-05,6.0604e-05,6.0604e-05
92,2826.02,0.56929,0.44974,0.89833,0.97957,0.97912,0.99092,0.89378,0.46025,0.30203,0.89006,5.50996e-05,5.50996e-05,5.50996e-05
93,2856.56,0.5391,0.44436,0.92199,0.97942,0.98119,0.99092,0.89153,0.44626,0.30164,0.88824,4.95952e-05,4.95952e-05,4.95952e-05
94,2887.14,0.52914,0.43269,0.94247,0.98048,0.98212,0.99092,0.89727,0.43207,0.29687,0.8867,4.40908e-05,4.40908e-05,4.40908e-05
95,2919.85,0.53463,0.44612,0.92502,0.98164,0.98032,0.99092,0.9002,0.437,0.29632,0.88686,3.85864e-05,3.85864e-05,3.85864e-05
96,2947.9,0.54402,0.42749,0.89779,0.98147,0.98046,0.99092,0.9003,0.43533,0.29326,0.8856,3.3082e-05,3.3082e-05,3.3082e-05
97,2980.66,0.5142,0.43997,0.88522,0.98153,0.98097,0.99092,0.89807,0.43852,0.29284,0.88666,2.75776e-05,2.75776e-05,2.75776e-05
98,3011.66,0.46785,0.41124,0.9088,0.98215,0.98102,0.99092,0.89917,0.44083,0.29405,0.88692,2.20732e-05,2.20732e-05,2.20732e-05
99,3042.45,0.47435,0.41236,0.90596,0.98316,0.97988,0.99092,0.89295,0.44656,0.29516,0.88803,1.65688e-05,1.65688e-05,1.65688e-05
100,3070.93,0.50059,0.43202,0.91769,0.98376,0.98093,0.99092,0.89297,0.44551,0.29451,0.88695,1.10644e-05,1.10644e-05,1.10644e-05
